Team,Slot,Venue,OpponentPot,BaselineEP_per_game
Ajax,1,Home,2,1.2222222222222223
Ajax,2,Home,3,1.8888888888888888
Ajax,3,Away,2,0.9444444444444444
Ajax,4,Away,4,1.6111111111111112
Arsenal,1,Home,1,1.6111111111111112
Arsenal,2,Home,4,2.1944444444444446
Arsenal,3,Away,1,0.6111111111111112
Arsenal,4,Away,2,0.9444444444444444
Atalanta,1,Home,1,1.6111111111111112
Atalanta,2,Home,4,2.1944444444444446
Atalanta,3,Away,2,0.9444444444444444
Atalanta,4,Away,4,1.6111111111111112
Athletic Bilbao,1,Home,1,1.6111111111111112
Athletic Bilbao,2,Home,3,1.8888888888888888
Athletic Bilbao,3,Away,2,0.9444444444444444
Athletic Bilbao,4,Away,3,1.4166666666666667
Atlético Madrid,1,Home,1,1.6111111111111112
Atlético Madrid,2,Home,3,1.8888888888888888
Atlético Madrid,3,Away,3,1.4166666666666667
Atlético Madrid,4,Away,4,1.6111111111111112
Barcelona,1,Home,2,1.2222222222222223
Barcelona,2,Home,4,2.1944444444444446
Barcelona,3,Away,1,0.6111111111111112
Barcelona,4,Away,3,1.4166666666666667
Bayer Leverkusen,1,Home,2,1.2222222222222223
Bayer Leverkusen,2,Home,4,2.1944444444444446
Bayer Leverkusen,3,Away,1,0.6111111111111112
Bayer Leverkusen,4,Away,3,1.4166666666666667
Bayern Munich,1,Home,3,1.8888888888888888
Bayern Munich,2,Home,4,2.1944444444444446
Bayern Munich,3,Away,2,0.9444444444444444
Bayern Munich,4,Away,3,1.4166666666666667
Benfica,1,Home,1,1.6111111111111112
Benfica,2,Home,3,1.8888888888888888
Benfica,3,Away,2,0.9444444444444444
Benfica,4,Away,3,1.4166666666666667
Bodø/Glimt,1,Home,1,1.6111111111111112
Bodø/Glimt,2,Home,2,1.2222222222222223
Bodø/Glimt,3,Away,1,0.6111111111111112
Bodø/Glimt,4,Away,2,0.9444444444444444
Borussia Dortmund,1,Home,1,1.6111111111111112
Borussia Dortmund,2,Home,2,1.2222222222222223
Borussia Dortmund,3,Home,3,1.8888888888888888
Borussia Dortmund,4,Away,3,1.4166666666666667
Chelsea,1,Home,1,1.6111111111111112
Chelsea,2,Home,4,2.1944444444444446
Chelsea,3,Away,2,0.9444444444444444
Chelsea,4,Away,3,1.4166666666666667
Club Brugge,1,Home,2,1.2222222222222223
Club Brugge,2,Home,3,1.8888888888888888
Club Brugge,3,Away,3,1.4166666666666667
Club Brugge,4,Away,4,1.6111111111111112
Copenhagen,1,Home,3,1.8888888888888888
Copenhagen,2,Home,4,2.1944444444444446
Copenhagen,3,Away,1,0.6111111111111112
Copenhagen,4,Away,2,0.9444444444444444
Eintracht Frankfurt,1,Home,2,1.2222222222222223
Eintracht Frankfurt,2,Home,3,1.8888888888888888
Eintracht Frankfurt,3,Away,1,0.6111111111111112
Eintracht Frankfurt,4,Away,4,1.6111111111111112
Galatasaray,1,Home,2,1.2222222222222223
Galatasaray,2,Home,4,2.1944444444444446
Galatasaray,3,Away,1,0.6111111111111112
Galatasaray,4,Away,4,1.6111111111111112
Inter Milan,1,Home,1,1.6111111111111112
Inter Milan,2,Home,2,1.2222222222222223
Inter Milan,3,Away,1,0.6111111111111112
Inter Milan,4,Away,2,0.9444444444444444
Juventus,1,Home,2,1.2222222222222223
Juventus,2,Home,4,2.1944444444444446
Juventus,3,Away,3,1.4166666666666667
Juventus,4,Away,4,1.6111111111111112
Kairat,1,Home,2,1.2222222222222223
Kairat,2,Home,3,1.8888888888888888
Kairat,3,Away,2,0.9444444444444444
Kairat,4,Away,4,1.6111111111111112
Liverpool,1,Home,3,1.8888888888888888
Liverpool,2,Home,4,2.1944444444444446
Liverpool,3,Away,1,0.6111111111111112
Liverpool,4,Away,3,1.4166666666666667
Manchester City,1,Home,2,1.2222222222222223
Manchester City,2,Home,4,2.1944444444444446
Manchester City,3,Away,1,0.6111111111111112
Manchester City,4,Away,3,1.4166666666666667
Marseille,1,Home,1,1.6111111111111112
Marseille,2,Home,4,2.1944444444444446
Marseille,3,Away,2,0.9444444444444444
Marseille,4,Away,4,1.6111111111111112
Monaco,1,Home,2,1.2222222222222223
Monaco,2,Home,4,2.1944444444444446
Monaco,3,Away,1,0.6111111111111112
Monaco,4,Away,4,1.6111111111111112
Napoli,1,Home,1,1.6111111111111112
Napoli,2,Home,4,2.1944444444444446
Napoli,3,Away,2,0.9444444444444444
Napoli,4,Away,4,1.6111111111111112
Newcastle United,1,Home,3,1.8888888888888888
Newcastle United,2,Away,1,0.6111111111111112
Newcastle United,3,Away,2,0.9444444444444444
Newcastle United,4,Away,3,1.4166666666666667
Olympiacos,1,Home,1,1.6111111111111112
Olympiacos,2,Home,2,1.2222222222222223
Olympiacos,3,Away,3,1.4166666666666667
Olympiacos,4,Away,4,1.6111111111111112
PSV Eindhoven,1,Home,1,1.6111111111111112
PSV Eindhoven,2,Home,2,1.2222222222222223
PSV Eindhoven,3,Away,1,0.6111111111111112
PSV Eindhoven,4,Away,4,1.6111111111111112
Pafos,1,Home,3,1.8888888888888888
Pafos,2,Home,4,2.1944444444444446
Pafos,3,Away,1,0.6111111111111112
Pafos,4,Away,2,0.9444444444444444
Paris Saint-Germain,1,Home,3,1.8888888888888888
Paris Saint-Germain,2,Home,4,2.1944444444444446
Paris Saint-Germain,3,Away,3,1.4166666666666667
Paris Saint-Germain,4,Away,4,1.6111111111111112
Qarabag,1,Home,2,1.2222222222222223
Qarabag,2,Home,3,1.8888888888888888
Qarabag,3,Away,1,0.6111111111111112
Qarabag,4,Away,3,1.4166666666666667
Real Madrid,1,Home,1,1.6111111111111112
Real Madrid,2,Home,4,2.1944444444444446
Real Madrid,3,Away,2,0.9444444444444444
Real Madrid,4,Away,3,1.4166666666666667
Slavia Prague,1,Home,1,1.6111111111111112
Slavia Prague,2,Home,4,2.1944444444444446
Slavia Prague,3,Away,3,1.4166666666666667
Slavia Prague,4,Away,4,1.6111111111111112
Sporting CP,1,Home,1,1.6111111111111112
Sporting CP,2,Home,2,1.2222222222222223
Sporting CP,3,Away,1,0.6111111111111112
Sporting CP,4,Away,4,1.6111111111111112
Tottenham Hotspur,1,Home,1,1.6111111111111112
Tottenham Hotspur,2,Home,3,1.8888888888888888
Tottenham Hotspur,3,Away,1,0.6111111111111112
Tottenham Hotspur,4,Away,2,0.9444444444444444
Union Saint-Gilloise,1,Home,2,1.2222222222222223
Union Saint-Gilloise,2,Home,3,1.8888888888888888
Union Saint-Gilloise,3,Away,1,0.6111111111111112
Union Saint-Gilloise,4,Away,4,1.6111111111111112
Villarreal,1,Home,3,1.8888888888888888
